Company,Date Posted,Description,Experience Required,Experinece Required,How to apply,Job Role,Job type,Job_id,Link,Location,Package Offered,Package offered,Posted since,Source
Zappos.com,Thu Jul 02 17:01:53 UTC 2020,"Work remotely temporarily due to COVID-19
We are a small team helping groups throughout the organization solve problems and develop new ideas. Our projects focus on the future of Zappos by building interactive experiences centered around customer service. We are a nimble team that moves fast and empowers others to build and experiment with new Zappos experiences rapidly.
We are looking for candidates who have a sense of ownership to deliver quick but extensible solutions. You will have the freedom to incubate new ideas with the backing of a large yet passionate-about-culture organization. Our current platform is built on Ruby on Rails and React.js, but we will always prioritize finding the right tool for the job.
Some of our recent projects include launching ZapposKids.com (https://www.zappos.com/e/shops/kids) and Zappos Goods for Good (https://www.zappos.com/e/goods-for-good).
What you'll be doing:
Responsibilities range from team ""ideation"" to hands-on implementation, testing, and debugging of projects at different levels of the stack as needed. Typical projects involve a responsively-designed front end, a Rails-based server application, and possibly some form of asynchronous back-end processing. You must be willing and able (and excited) to accept responsibility for enhancing required skills and completing assigned tasks over the course of changing projects and initiatives. Adapt and thrive!
What you'll bring to the table:
We are ideally looking for ""T-shaped developers""—people who have a broad interest and understanding of technology and the web, but also have deep interest in a specialized area. We want someone who fits most (or ALL!) of these bullet points:
5-7+ years production software development experience
A solid knowledge of many (not necessarily all) of these technologies: React, HTML5, CSS3, Ruby/Ruby on Rails, and relational databases.
Strong frontend development skills
Experience with modern front end JavaScript frameworks (React, Angular, Vue, etc.)
Experience with unit/integration testing
DevOps experience is a plus (especially with AWS and automated deployments)​.
A solid, demonstrable grasp of good web, object-oriented, and asynchronous programming concepts.
The drive and open-mind to learn and adopt new skills continually.
Side projects and ideas for side projects you haven't started yet would be great.
An open-mind and personable disposition. You like to collaborate and can give and take constructive criticism cheerfully.
",,--,"Please click the link to apply!
https://app.jobvite.com/j?cj=ohGO9fwE&amp;s=Githubjobcw
",Senior Software Engineer- Full Stack,Full Time,911a5212-129b-491f-95d4-f7eaa19bdefa,https://jobs.github.com/positions/911a5212-129b-491f-95d4-f7eaa19bdefa,USA Remote,--,,--,Github Jobs
Virtual Pricing Director,Wed Jul 01 15:05:54 UTC 2020,"Virtual Pricing Director is hiring a Back End Engineer - working in Node.js and other languages - to redesign and implement its new Legal Tech back end and data platform.
Our software empowers a wide audience within law firms to swiftly produce consistently high quality data-driven pricing proposals that profitably deliver on clients' expectations of pricing transparency and pricing certainty. We achieve this with a best in class data management and workflow platform, and a compelling focus on UI/UX.
We have a proven MVP, the best-recognised brand and strong demand. Now embarking on our third product release, you will design and build out an entirely new data structure and back end. You will be establishing data pipelines, representing data for BI and reporting, and building comprehensive back end capabilities. Your work will go on to manifest new workflow management capabilities, and to bring structure to unstructured data.
The domain entails data-intensive services where security, data integrity and uptime are key. This presents lots of interesting challenges as we build and integrate our technology. We offer considerable freedom in technology choice and approach. There are big plans and lots to accomplish.
Upcoming projects
Exploring, innovating and creating IP
Designing and implementing new data structures and logic
New back end for modular BI and reporting products
New API and data integration pipelines
Designing operational AWS infrastructure
Automating quality, CI/CD, and shaping a DevOps culture
Supporting dialogue with customers
Exploring GraphQL
Upholding ISO27001
Preparing for explorations in machine learning
We're looking for
Someone ready to shape the back end and data solution
Strong grounding in Computer Science, Data Science or Mathematics, through formal study - or equivalent knowledge
Deep, technical, software design and coding skills - accrued in a modern web back end context
Technology agnostic and adept with Node.js and strong SQL
Ability to build modern microservice-based systems that scale
Ability to unpack complex requirements, to uphold security of sensitive data and to conform to best practices
A collaborative, adaptable, user-centered approach
You may also bring - or like to gain - interests around knowledge management, data science, NLP or machine learning
Someone considering remote, Senior or Lead level, back end jobs such as: Back End Engineer | Back End Developer | Microservices Developer | Lead Software Engineer | Node.js Developer | Node.js Engineer etc.
Anticipated ecosystem - we'll welcome your influence
Node.js | optionally some Python, Go, Rust or similar | PostgreSQL | GraphQL | AWS | ML | TDD | Agile
Salary and benefits
£60,000 - £90,000+ we're keeping an open mind
Share scheme for founding team members (once proven value to the business)
25 days holiday, plus public holidays and a day for your birthday
Family-friendly and flexible culture - tell us what you need
Personal development plan that you can shape, with budget for related training/certifications
About us
Virtual Pricing Director has developed groundbreaking software to assist law firms to understand and price their fees, be that £10k or £10m. We are the authority for legal pricing and our software has attracted the attention of the largest firms in numerous countries. We're now bringing our development team together, offering a culture where you will work under your own initiative towards common goals. It's an opportunity to be a formative team member, to help shape our collaborative culture and methods, and to grow and improve together. Virtual Pricing Director is a privately-owned venture, founded by Burcher Jennings LLP and Validatum.
Location: fully remote, within the UK
Even if your CV isn't ready, please talk with Vittoria at techfolk to find out more:
0117 318 2447 | hello@techfolk.co.uk | @we_are_techfolk
RECRUITERS: Virtual Pricing Director has selected techfolk as its recruitment partner for this position and cold calling or speculative applications are not welcomed.
",,--,"We would be pleased to chat and tell you more, or to take questions via:
hello@techfolk.co.uk | tel 0117 3182447 | @we_are_techfolk
And you can apply via: https://www.techfolk.co.uk/job/back-end-engineer-70.aspx
",Back End Engineer: Node.js | data | GraphQL,Full Time,22098e20-4b3e-48fb-b109-d6dd72bddd70,https://jobs.github.com/positions/22098e20-4b3e-48fb-b109-d6dd72bddd70,UK,--,,--,Github Jobs
Gothaer Digital GmbH,Wed Jul 01 11:16:56 UTC 2020,"Are you looking for a new challenge in software developing? You love clean code and technically smart software? You want to be at the frontline of a changing industry?
Then you've come to the right job posting. As a digital subsidiary of the Gothaer Insurance Company, we are looking for new colleagues with entrepreneurial spirit as teammates in our dynamic, interdisciplinary team. The start-up spirit in our office with a view over the roofs of Cologne provides a unique environment.
We are currently looking for a software developer for our tech team who is experienced with mobile / hybrid development and App store release (Android &amp; Apple) and has project experience with Flutter / Dart projects.

Mobile development with Flutter (Dart) for our health app
Project-based development of applications and MVPs for Gothaer Insurance Company
Implementation of UI and prototypes with excellent user experiences from our XD designs

Your profile:

Good experience with Flutter and other mobile technologies
Interest in attractive modern design patterns and an ""eye"" for distances, layout and colors
team player with the interest to cooperate in an interdisciplinary team
Great interest in innovation (e.g. new programming languages and APIs as well as new technologies in general)
optional experienced with web development with JavaScript based frameworks for web or mobile development
optional: experience with cloud computing and scaling (Azure, Docker, etc.)
Enjoy bringing complex projects to success as part of a team
German language is a plus but not mandatory

Gothaer Digital GmbH is a international team of experts and you can have a great influence on the path of our digital unit. We offer you a lot of space for the implementation of new ideas and your personal development. Convinced? Then we are looking forward to receive your application.
What we also offer:

A modern office with coffee, drinks and a great view of the city
A cross-functional team from different areas
Flexible working hours and home office
Further training and paid tech meetings attendance
Good connection to public transport and a discount for your monthly ticket
german classes for our foreign employees

",,--,"apply via email or via our website www.gothaer-digital.de
",Senior Mobile Developer for Flutter / Dart,Full Time,5ae75da5-fab6-41dd-8fc6-7c5e3b0ae5fe,https://jobs.github.com/positions/5ae75da5-fab6-41dd-8fc6-7c5e3b0ae5fe,Cologne,--,,--,Github Jobs
Epic,Tue Jun 30 18:48:52 UTC 2020,"We are seeking a Network DevOps Engineer to create automation to analyze, maintain, and evolve our complex network's infrastructure. As part of Epic's multi-tenant hosting team, you'll keep abreast of the latest technologies and work collaboratively with experts in a variety of knowledge areas to develop and maintain a robust, reliable, high-performance foundation for some of the largest healthcare organizations in the country to access our world-class software.
Desired Skills and Knowledge Areas:
Experience with Infrastructure as Code frameworks such as Ansible, Puppet, or Terraform
Experience with scripting and programming languages such as Python, PowerShell, Go
Experience with Network, firewall, or load balancer platforms
Background in networking fundamentals including TCP/IP, DNS, load balancing, routing, and administration of networking hardware.
Requirements:
Relocation to the Madison, WI area (reimbursed)
5+ years IT experience required, minimum 1-2 years in DevOps
A history of academic and professional success
Eligibility to work in the U.S. without visa sponsorship
More than just important work.
Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others. We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses,  as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Epic is an Equal Opportunity/Affirmative Action (W/M/Vets/Disability) employer. Please see our full non-discrimination statement at https://careers.epic.com/EEO.
As a member of the Hosting team at Epic you'll be responsible for the confidentiality, integrity, and availability of Epic Hosting. Those responsibilities include:
Following policies and procedures and escalating when policies or procedures are not followed.
Escalating potential security incidents and providing relevant information.
Meeting all security responsibilities defined in policies and procedures.
",,--,"Upload your resume here: https://epic.avature.net/Careers/RegisterMethod?folderId=19058
",Network DevOps Engineer,Full Time,a4a03e31-b069-421c-ad0d-14f10fd6a1d3,https://jobs.github.com/positions/a4a03e31-b069-421c-ad0d-14f10fd6a1d3,"Madison, WI",--,,--,Github Jobs
Altaml,Tue Jun 30 15:17:35 UTC 2020,"AltaML is a fast-growing startup that focuses on applied Machine Learning (ML). We partner with industry to co-develop Artificial Intelligence (AI) and ML-powered products. We are experts in ML commercialization and help our industrial partners gain a competitive advantage by combining their data and domain expertise with our analytics and ML proficiency. Data informs our every move, and we aim to work quickly, collaboratively, and creatively. We have offices in Edmonton and Calgary and are expanding into Toronto.
Do you get excited about the chance to solve real-world problems using data and code? AltaML works with progressive partners in industries such as Health, Logistics, Smart Cities and Financial Services.  Sure, we are a tech company, so we offer a well-stocked kitchen including good coffee, sparkling water, and snacks. But we also offer Welcome Lunches, Friday Socials, hot sauce tastings and so much more!
We are a company like no other – we believe in making small bets, failing fast, and being better together.
Located in the stunning Edison Building in downtown Calgary, we are looking for a Lead Software Developer. This Lead role will also be responsible for providing oversight and local leadership to our inaugural Dev pod in the Calgary office.
What you’ll do:
As a Lead Software Developer, your primary focus will be the oversight of development of front-end MVP applications written in a SPA framework. Your team will also be responsible for integrating ML elements built by co-workers into the application; therefore, a basic understanding of back-end technologies is necessary as well.  You will provide technical and team management, but as you can see, you will need to be a hands-on manager!
Responsibilities:

Reviewing and writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Integration of user-facing elements developed by front-end developers with server -side logic
Implementation of security and data protection
Development of SPA applications for mobile, web and desktop.
Provide work direction and review the work of the designated team
Provide mentorship to our software developers

What you bring:

Formal or informal leadership and oversight of less-experienced Developers, including technical and behavioural coaching and mentorship
7-10 years of hands-on coding experience, including expert-level skills in Javasciript/Typescript and knowledge of at least one popular SPA framework (React/VueJS/Angular) with VueJS experience preferred.
Familiarity with creating RESTFUL services using a framework
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Knowledge of user authentication and authorization between multiple systems, servers, and environments
Understanding of fundamental design principles behind a scalable application
Understanding of the differences between multiple delivery platforms, such as mobile vs desktop, and optimizing output to match the specific platform
Able to create database schemas that represent and support business processes
Strong unit test and debugging skills
Proficient understanding of code versioning tools (GIT)
Awareness or exposure to micro service-based architecture
Exposure to Python as a nice to have

Who we are looking for:
Our core values speak volumes about who we are and how we work:
Humble – Listen to the data
Happy – Tap-dance to work
Gritty – Be persistent, not complacent
Agile – Make small bets, then iterate
Our current and future employees:

express our core values
are hungry for knowledge
want to learn new skills
are respectful
collaborate with others across the whole company
share knowledge with coworkers
educate and promote AI and ML concepts both internally and externally
have a high work ethic and are self-motivated

What you’ll get:
You will be working in a high-paced environment focused on creating unique ML solutions to problems within the investment management space to generate impactful value. This includes everything from building alpha-generating models to automating administrative processes.
You will be working with people with multiple years of industrial and academic experience in data science, software engineering, product management, and machine learning fields. To solve the problems we apply various ML techniques from traditional Machine Learning and Data Mining algorithms, through to vision, Deep Learning, Information Extraction, advanced NLP and conversational agents.
You will be able to experience a Silicon Valley-style company culture, which means we believe in working hard, getting the job done, and enjoying a drink on Fridays. You’ll also get flexibility in where you work, what hours you work, how much vacation you take, and what you wear. We expect hard work but respect work/life balance.
Confidence can sometimes hold us back from applying for a job.  We’ll let you in on a secret - there is no such thing as a perfect candidate.  AltaML is working with new technologies, and no one is standing still when it comes to learning.  As long as you are continuing to push your growth and development, then consider applying even if you don’t check all the boxes on our posting.
So, however you identify and whatever background and experiences you bring, please apply if this is a role that would make you “tap dance to work” every day.  We would love to add your biological uniqueness to our own! :-)
Note:
You will be required to undergo the following checks during the hiring process:
Background
Education
Criminal
Credit
References
",,--,"email your resume to mikeb@altaml.com
",Lead Software Developer,Full Time,cfb3dfc3-1626-4348-88d6-e885a93a28a2,https://jobs.github.com/positions/cfb3dfc3-1626-4348-88d6-e885a93a28a2,Calgary,--,,--,Github Jobs
HubTran,Tue Jun 30 14:59:42 UTC 2020,"Are you the kind of person who likes working on a variety of challenging projects? Would you enjoy helping a team work on automation improvements this month and then move to tuning our OCR process next month? Do you want to lead development of new strategic features? If so, being a HubTran Senior Software Engineer might be the thing for you. We are looking for one or more people to help us solve our most challenging issues.
At Hubtran, you will join a team that:

Has experience. The majority of our developers have more than 10 years of professional experience. * One has published a book with the Pragmatic Programmers.
Has won the Chicago Innovation Award and Harvard Business School New Venture Contest.
Is fully remote. We care about what you can accomplish, not where you choose to accomplish it from.
Believes diversity is essential and strongly encourages applications from women and minority candidates.
Can articulate their values. You can read about our values at on our blog.
Pays well.
Offers benefits including health insurance, 4 weeks of vacation, 401k, and more.

Our code is a mixture of Ruby, Elm and JavaScript. Additionally, we have a strong interest in functional programming languages like Haskell, OCaml, Elixir, and Idris. We're also using Rails, React, Postgresql, Redis, Docker, and more. While these are the tools we're currently using, you don't need to have previous experience with all of them. We know that good developers are capable of quickly picking up new languages and tools.
In order to succeed in this role you should be:

Experienced. You have designed and implemented entire projects not just individual stories.
Curious. You aren't content with the status quo and know that we can always improve.
Self-directed. You can work on your own while prioritizing tasks.
Collaborative. You can work with others to improve a solution.
Empathetic. Your designs are influenced by a deep understanding of the customers' needs.
A strong communicator. You will proactively communicate issues and trade-offs with team members to support alignment and fast decision making.
Be an outstanding developer. Your peers should recognize you as one of the best and the brightest developers they have worked with.

Bonus points for:

Leading an engineering team or running a consulting company.
Experience or strong interest in Machine Learning.
Experience with functional languages like Elm, Haskell, OCaml, or Elixir.
Previous Logistics experience.

HubTran is a fast-growing technology startup focused on automating work in the logistics industry. Through a combination of a powerful browser based interface and machine learning, we are able to reduce our customer's workload by 4x or more. HubTran is well funded with significant upside potential.
",,--,"https://apply.workable.com/hubtran/j/99980907C2/apply/
",Senior Software Engineer Rails/Elm/JS,Full Time,94df0e7f-ecdb-489d-b9a5-dda1b121816c,https://jobs.github.com/positions/94df0e7f-ecdb-489d-b9a5-dda1b121816c,USA Remote,--,,--,Github Jobs
Hopkins,Tue Jun 30 14:50:59 UTC 2020,"Hopkins is a legal technology company and law firm specialized on fighting for consumer rights at scale. Founded in 2019 by lawyer and engineer Arend Liese, Hopkins rethinks the principles of legal execution from the ground up - with a strong focus on software, data, and interdisciplinary collaboration between engineers, lawyers, and legal strategists. In the beginning, Hopkins focuses on building internal systems for automation of typical processes in a law firm. Later, we will focus on algorithms predicting case outcomes and optimal negotiation strategies, as well as tools augmenting Hopkins' lawyers to reach superior results on a regular basis.
Tasks

You lead the industry of law into the 21st century and you are part of the process to digitalize and automate legal processes
Our products include a full-fledged law firm software, analytics solutions, and algorithms to predict case outcomes
You play a crucial role in designing, building, and updating our Front- and Backend in React and Node.js
You are responsible for the development and conception of technical projects
You introduce your own ideas and approaches
You take responsibility &amp; ownership for products and product parts
You shape our Engineering-team and -processes
You help our Junior Engineers to develop their skills

Requirements

You have several years of working experience in Javascript Front- and Backend with a focus on React and Node.js. You understand API design, data structure models, software architecture, and know Javascript build tools. Experience with microservice frameworks is appreciated but not needed.
Most of all, you are motivated and passionate about working on a big challenge and building something wonderful!

Benefits

Take the opportunity to design and shape the law firm of the future
Take a leading role in our team of motivated engineers, and leave your footprint within our product
Enjoy freedom to put emphasis on your personal interests and pick projects that cater to your personal preference
Deepen your knowledge in React, Node.js, Product Management, and teamwork
Work in agile development processes with quick user feedback loops
Work in inter-disciplinary projects directly with our CTO, our other Managing Directors and lawyers
Join an inspiring team with a passion for working on big challenges from diverse cultural, professional, and academic backgrounds

We would love to hear from you if you want to learn more about this opportunity.
",,--,"https://hopkins.join.com/jobs/1145281-engineering-or-lead-full-stack-engineer-react-node-js-x-f-m?pid=357a3b4531918760973f&amp;utm_source=github_jobs&amp;utm_medium=paid&amp;utm_campaign=single%2Bposting&amp;utm_content=engineering%2Bor%2Blead%2Bfull%2Bstack%2Bengineer%2Breact%2Bnode%2Bjs%2Bx%2Bf%2Bm
","Engineering | Lead Full Stack Engineer (React, Node.js) (x/f/m)",Full Time,db893e00-1e48-433d-8120-82326433e876,https://jobs.github.com/positions/db893e00-1e48-433d-8120-82326433e876,Berlin,--,,--,Github Jobs
YourWork GmbH,Tue Jun 30 14:00:28 UTC 2020,"YourWork is a German business and employment-oriented social network for craftsmanship and industry.
We are a small, self-funded team who move fast led by the entrepreneur Nicole Nestler. She has experiences in the IT technology sector and was leading the last 6 years a big company in the craftsmanship industry.
WHERE YOUR EXPERTISE IS NEEDED

You‘ll ensure YourWork has scalable, affordable, reliable and high-performance systems to support the growth of the business in Germany and abroad, enabling constant product innovation and optimization.
You‘ll be responsible for choosing the tech-stack, planning architecture, bootstrapping the dev-team and building the codebase from scratch. We expect you to oversee technology choices, code quality, security and infrastructure, but also on the HR side, including recruitment and career development of your team members.
We would like you to help foster a culture of individual initiative, solidarity and lead results-driven development methodology.

WHAT WE’RE LOOKING FOR

At least 3-4 years experience with building consumer-facing web applications as a full- stack developer.
Proven experience with at least one modern frontend framework (React/Vue/Angular).
Proven experience with at least one modern backend REST framework
(Express/Koa/Django/Serverless etc.).
Basic devops understanding and experience deploying and maintaining application in
the cloud (AWS/GCP/HEROKU etc.).
Product and product-terminology understanding, experience working with
marketing/creative/business departments. • You move fast.

NICE TO HAVE

Experience leading dev-teams.
German language proficiency.
Building and maintaining application at high-scale, experience with continuous
integration and in-depth dev-ops experience.
In-house team and outsourcing vendor management experience

PERKS AT WORK

Competitive salary, public transport discounts, great IT equipment, flexible working times, additional holidays and volunteering time, free beverages, diverse sports and health offerings.
We celebrate diversity and are committed to building teams that represent a variety of backgrounds, perspectives and skills. All employment is decided on the basis of qualifications, merit and business need.

LOCATION

Our office is in Erfurt, Germany. But open from everyone around the country as long as they are willing to travel to Erfurt every once in a while (we have a great office with best coffee and brewery ;-)
For right candidate, please email your CV with a short blurb about yourself and links to previous projects you are particularly proud of (in English or German).

",,--,"Email your application to: nicole.nestler@yourwork.com
",Technical Lead,Full Time,f75f8690-c458-4d9e-bd37-10a660ddf712,https://jobs.github.com/positions/f75f8690-c458-4d9e-bd37-10a660ddf712,Erfurt,--,,--,Github Jobs
InnoGames GmbH,Mon Jun 29 06:38:28 UTC 2020,"As Java Software Developer, you work closely with our game teams to shape the foundation of our next big hits and contribute as a productive member of an agile development team in all phases of the development lifecycle.
Your mission:

Develop features shared across our game backends
Improve performance-critical components, increase the robustness and scalability of our software
Improve our libraries and backend services with your knowledge of software architecture and high-quality code
Maintain and extend our development tools and environment

Your profile:

Degree in Computer Sciences, Business Information Systems or equivalent training and experience as IT specialist
Several years of experience in object-oriented programming in Java with Spring Boot and optimally the Akka framework
Software development with Spring, the UNIX command line and profound knowledge of SQL, GIT, and Continuous Delivery
You love to dive deep into other people’s code which is reflected in your Github profile
Solid experience in using various methods in software design and a strong belief in automated testing to guarantee and improve code quality in compliance with the company standards
Being a backend geek, you also like to switch to the frontend side with Angular, C# and Unity
Good English language and overall communication skills
Proactive and motivated individual with a willingness to learn

Why join us?

Be part of a great international team in a healthy and stable-growing company
Your working device will be the latest MacBook Pro with high-end hardware
We actively support your further development and give you all the needed resources to evaluate new technologies and participate in open source communities
We provide additional training budget to spend on attending conferences, taking hard skill courses or improve your soft skills as well as purchasing books
Our career model is set up equally for an expert in a technical career or a management path
Use opportunities to make your code open source and show your achievements at international conferences
We offer competitive compensation with benefits like relocation support, company gym, smartphone or tablet, company bikes, rooftop terrace with BBQ and much more

Excited to start your journey with InnoGames and join our dynamic team as a Java Software Developer? We look forward to receiving your application as well as your salary expectations and earliest possible start date through our online application form. Cristal Ledesma would be happy to answer any questions you may have.
Apply and #stayhome! Due to the coronavirus outbreak, we switched our operations company-wide to home office and turned our hiring process into a fully virtual one. When hiring, we are also open for our new team members starting their work remotely at the time being or adjusting contract start dates accordingly. Stay home and safe!
InnoGames is Germany’s leading developer and publisher of mobile and online games. The company based in Hamburg is best known for Forge of Empires, Elvenar and Tribal Wars. InnoGames’ complete portfolio encompasses seven live games and several mobile titles in production.
Born as a hobby, InnoGames today has a team of 400 employees from more than 30 nations who share the passion of creating unique games that players across the globe enjoy for years. In order to further expand our success and to realize new projects, we are constantly looking for young talents, experienced professionals, and creative thinkers.
",,--,"https://www.innogames.com/career/detail/job/java-software-developer-core-team/?s=GitHub
",Java Software Developer - Core Team,Full Time,f1e47ec6-641c-4b4a-a38a-1a57e6af7c93,https://jobs.github.com/positions/f1e47ec6-641c-4b4a-a38a-1a57e6af7c93,Hamburg,--,,--,Github Jobs
Bayforest Technologies,Sat Jun 27 06:33:39 UTC 2020,"Bayforest Technologies, a multi-award winning quantitative investment manager with an outstanding track record, seeks a mid-senior level software engineer.
Bayforest Technologies is not a conventional hedge fund. We are technologists at heart: our proprietary technology is streaming large amounts of data to identify actionable insights in real time. We are working on the forefront of academia and industry to solve the most challenging and exciting problems in finance.
We are looking for versatile engineers with strong enthusiasm and a curious nature to drive our technology in order to solve the most challenging problems in finance. You will be involved in our proprietary research  and develop enhanced solutions to deliver them into production. You will be joining a team of developers with previous experience from the likes of market making hedge funds, technology startups, Google, Nokia, Playstation among others.
Qualifications:
-Minimum BSc or equivalent in natural sciences, engineering or computer science.
-Minimum 3 years of experience at  mid-level position or higher as software engineer.
-Demonstrated proficiency in C++ and one scripting language, preferably Python.
-Strong awareness of best practices, code standards, building processes, test driven programming and code reviews.
-Knowledge of algorithm designs.
-Demonstrable experience of complex software development that was successfully delivered to customers.
-Familiar with Linux infrastructure.
-Preferably some knowledge of financial market mechanics.
A competitive salary is on offer and opportunity to participate in our generous profit sharing in one of the fastest growing and strongly backed systematic hedge funds.
",,--,"Email your resume to hr@bayforest.ai
",Mid-Senior level Software Engineer,Full Time,8d090215-8f42-4b8d-8a27-44cca0394f68,https://jobs.github.com/positions/8d090215-8f42-4b8d-8a27-44cca0394f68,London,--,,--,Github Jobs
